epoch,kappa=1acc,kappa=50acc,kappa=150acc,kappa=175acc,kappa=200acc,kappa=500acc,kappa=1000acc
354,0.2091,0.8644,0.9279,0.9314,0.9327,0.9307,0.5566
355,0.2091,0.8652,0.9278,0.9312,0.9324,0.9306,0.5557
356,0.2091,0.8652,0.9275,0.9311,0.9324,0.9316,0.5556
357,0.2091,0.8652,0.9283,0.932,0.932,0.9302,0.5555
358,0.2091,0.8646,0.9287,0.9322,0.932,0.9299,0.556
359,0.2091,0.8654,0.9272,0.9304,0.9322,0.9298,0.5546
360,0.2091,0.8661,0.9275,0.9297,0.9336,0.9287,0.5553
361,0.2091,0.8664,0.9282,0.931,0.9326,0.9319,0.5574
362,0.2091,0.8652,0.9292,0.9307,0.9327,0.9299,0.5567
363,0.2091,0.866,0.9279,0.9316,0.9324,0.9312,0.5562
364,0.2091,0.8661,0.9288,0.9328,0.9328,0.9313,0.5576
365,0.2091,0.8663,0.9277,0.9314,0.931,0.9318,0.5571
366,0.2091,0.8668,0.9287,0.9316,0.9324,0.9311,0.5567
367,0.2091,0.866,0.9287,0.9302,0.9315,0.9318,0.5552
368,0.2091,0.8656,0.928,0.9304,0.9311,0.931,0.5563
369,0.2091,0.8654,0.9287,0.9319,0.9319,0.9321,0.5569
370,0.2091,0.8651,0.9287,0.9327,0.9324,0.9315,0.5552
371,0.2091,0.8649,0.9285,0.9317,0.9332,0.9306,0.5545
372,0.2091,0.8655,0.9275,0.9308,0.9326,0.9319,0.5572
373,0.2091,0.8654,0.9294,0.9312,0.9325,0.933,0.5571
374,0.2091,0.8649,0.9278,0.9313,0.9315,0.933,0.5591
375,0.2091,0.8649,0.928,0.9311,0.9318,0.9318,0.5557
